"Date","Price","Open","High","Low","Vol.","Change %"
"30-07-2025","81,481.86","81,594.52","81,618.96","81,187.06","7.21M","0.18%"
"29-07-2025","81,337.95","80,620.25","81,429.88","80,575.45","12.29M","0.55%"
"28-07-2025","80,891.02","81,299.97","81,557.41","80,776.44","5.14M","-0.70%"
"25-07-2025","81,463.09","82,065.76","82,069.51","81,397.69","9.96M","-0.88%"
"24-07-2025","82,184.17","82,779.95","82,784.24","82,047.22","14.01M","-0.66%"
"23-07-2025","82,726.64","82,451.87","82,786.43","82,279.73","10.09M","0.66%"
"22-07-2025","82,186.81","82,527.43","82,538.17","82,110.63","23.92M","-0.02%"
"21-07-2025","82,200.34","81,918.53","82,274.03","81,518.66","15.26M","0.54%"
"18-07-2025","81,757.73","82,193.62","82,334.75","81,608.13","8.31M","-0.61%"
"17-07-2025","82,259.24","82,753.53","82,757.09","82,219.27","8.76M","-0.45%"
"16-07-2025","82,634.48","82,534.66","82,784.75","82,342.94","7.62M","0.08%"
"15-07-2025","82,570.91","82,233.16","82,743.62","82,221.74","9.87M","0.39%"
"14-07-2025","82,253.46","82,537.87","82,537.87","82,010.38","18.11M","-0.30%"
"11-07-2025","82,500.47","82,820.76","83,040.74","82,442.25","10.72M","-0.83%"
"10-07-2025","83,190.28","83,658.20","83,742.28","83,134.97","7.55M","-0.41%"
"09-07-2025","83,536.08","83,625.89","83,781.36","83,382.28","7.83M","-0.21%"
"08-07-2025","83,712.51","83,387.03","83,812.31","83,320.95","15.31M","0.32%"
"07-07-2025","83,442.50","83,398.08","83,516.82","83,262.23","6.23M","0.01%"
"04-07-2025","83,432.89","83,306.81","83,477.86","83,015.83","8.77M","0.23%"
"03-07-2025","83,239.47","83,540.74","83,850.09","83,186.74","9.56M","-0.20%"
"02-07-2025","83,409.69","83,790.72","83,935.01","83,150.77","10.57M","-0.34%"
"01-07-2025","83,697.29","83,685.66","83,874.29","83,572.51","19.08M","0.11%"
"30-06-2025","83,606.46","84,027.33","84,099.53","83,482.13","6.25M","-0.54%"
"27-06-2025","84,058.90","83,774.45","84,089.35","83,645.41","8.61M","0.36%"
"26-06-2025","83,755.87","82,882.92","83,812.09","82,816.26","10.50M","1.21%"
